Nombre;ROA2024
VALLE DE LOBOS 21 SL.;17,8
ODDERS LAB SOCIEDAD LIMITADA.;-2,07
MANIOBRAS ELECTRICAS Y SERVICIOS SERNA SOCIEDAD LIMITADA.;8,03
TROMP MEDICAL SL.;27,34
WE ARE REMOTERS S.L.;4,47
TREVI OPTICAL GROUP, S.L.;7,68
HORNSTROMP SERIES SL.;52,01
ELECTED ENERGY SOCIEDAD LIMITADA.;5,55
TIKERS CONTENT FACTORY SL.;16,99
HITZONE SPAIN SL.;34,54
4NGLE INSTAL.LACIONS INTEGRALS SL.;11,94
ZERCA MARKET DIGITAL SOCIEDAD LIMITADA.;3,28
COMUNISTONE SL.;8,25
POWEREXPLOSIVE INSTITUTE, SOCIEDAD LIMITADA.;-33,53
D2C ECOMMERCE S.L.;15,03
SERTEC FARMA S.L.;-0,67
KAPRES TECHNOLOGY SL.;1,02
G97 TECH MARKETING S.L.;37,97
BIGBLUE NETWORK SL.;-163,12
ALEM COMMUNICATIONS & PR STRATEGIES SL.;31,17
ESOMOS SOLUCIONES TECNOLOGICAS SL.;40,04
RINDUS TECHNOLOGY 2 SL.;11,63
LOGALTY SOLUTIONS SL.;-1,39
COLWAY SMARTCOM SL.;12,3
QUERA DONOSTIA SOCIEDAD LIMITADA.;-3,16
EXETEN MEDITERRANEO SL.;8,15
MEWS SYSTEMS IBERICA S.L.;22,76
MESSAGE BITE SOCIEDAD LIMITADA.;35,92
LALIGA CONTENT PROTECTION SL.;-0,08
INDIPLU EUROPA, SOCIEDAD LIMITADA.;10,14
CLOUD DISTRO SOCIEDAD LIMITADA.;32,74
SCREENING EAGLE SPAIN SL.;35,13
M2 ENERGY INVESTMENT PARTNERS SL.;2,84
IEQSY IMPROVE ENERGY QUALITY, SL.;-23,32
ELTE ENERGETICA SL.;33,6
BRANCHCREATION SL.;29,13
FORCONTACT IBERIA S.L.;2,53
PM4GOV SL.;75,01
WOODEA SL.;-19,18
UNIVRSE CORE S.L.;5,1
ATLAS MARKETING STUDIO SOCIEDAD LIMITADA.;13,58
PODIMO IBEROAMERICANA SL.;6,55
ORBITAL EOS SOCIEDAD LIMITADA.;1,19
AUTOMATICA INTELLIGENCE SL.;17,16
WEBASSIST S.L.;-0,7
SECURE ONLINE MANAGEMENTS S.L.;35,42
PLANNING, STRATEGY AND GROWTH SOCIEDAD LIMITADA.;12,16
PUSHGROUND S.L.;38,65
ENERGETICA DEL ESTE SOCIEDAD LIMITADA.;56,26
INFINILEADS SL.;42,15
YIELDPLANET S.L.;8,28
LEGAL PIGEON S.L.;14,68
LUXQUANTA TECHNOLOGIES S.L.;-0,76
VOXSMART TRADING SL.;42,56
GBTEC SOFTWARE, S.L.;15,63
MYCLOUDDOOR SECURITY & INNOVATION SL.;5,71
ALTERYX ANALYTICS SPAIN S.L.;4,01
MIXKIN TECH SL.;56,89
ALENIA CONSULTING ESPAÑA SL.;6,57
VALL DE SOLLER TELECOMUNICACIONS SL.;19,46
ASTEO RED NEUTRA SL.;-5,2
MADBOX GAMES SPAIN S.L.;7,42
ASLAM TECHNOLOGICAL INNOVATION SL.;19,22
LITEK INDUSTRIAL SOCIEDAD LIMITADA.;18,25
ILITIA SYSTEMS SL.;-23,21
JM DISTECH Y SEGURIDAD SL.;3,17
POWER FACTORS SPAIN OPERATIONS SL.;15,69
MARKETING A SECAS SL.;70,46
IC CONSULT SPAIN S.L.;-14,83
GAME LOUNGE ENTERTAINMENT SL.;39,12
GSIQUANTS SL.;3,24
DEISTER CLOUD S.L.;42,24
SCENE STROKES S.L.;-4,03
NAX AGTECH SL.;36,99
TESTUDO 2020 SL.;25,31
BEEPING FULFILMENT SOCIEDAD LIMITADA.;-24,27
MACLIDE INVESTMENTS SL.;-44,65
ARCWIDE SPAIN SL.;30,29
PAPEL, TECNOLOGIA Y EVENTOS SOCIEDAD LIMITADA.;0,19
HIGHER EDUCATION SAG SL.;-18,87
SHEALA S.L.;0,99
ALKIMIA INTERACTIVE S.L.;23,93
AUSER CALIBRACION Y CONTROL S.L.;28,19
MAIBORNWOLFF SPAIN SL.;29,31
RINDUS TECHNOLOGY 5 SL.;16,23
PRIMEUM VENTURES SL.;2,17
POLARISTA GROUP S.L.;11,6
RINGOVER ESPAÑA SL.;27,33
TATTOOX S.L.;-45,66
RINDUS TECHNOLOGY 4 SL.;47,38
REDJAM TELECOM SL.;18,91
VYOOTRIP SOLUTIONS SOCIEDAD LIMITADA.;-2,59
FOXTER SOLUTIONS S.L.;1,64
TUCA BIDCO SL.;-0,68
SCOOLINARY SL.;-13,54
CO2NO SL.;6,58
EUROFINS NBLSC ENVIRONMENT TESTING SPAIN SOCIEDAD LIMITADA.;8,61
CITYPRIVE PSFP SL.;0,4
DEUS IBERIA, S.L.;-61,47
AMS SOLUTIONS, S.L.;47,89
LABORATORIO CDC LAM SL.;-21,43
TAXSCOUTS ESPAÑA SL.;-232,29
DEMO TELECOM SOCIEDAD LIMITADA.;-53,22
ELECTRO-RAPID REPAIR SL.;-16,7
MERLIN SOFTWARE, S.L.;68,39
DYNAMIC 2 TRADE GLOBAL WORLD SL.;-2,13
CLOUDES MARKETING SOCIEDAD LIMITADA.;34,18
PROPHERO GLOBAL SL.;-11,34
GRUPO SOLUTIA TECNOLOGIA SOCIEDAD LIMITADA.;-0,09
BEE GREEN ENERGY, SOCIEDAD LIMITADA.;17,22
TAI SOFTWARE SOLUTIONS IBERIA SL.;-37,07
DIGITTUDE TECHNOLOGY SOLUTIONS SL.;1,32
STRIKING DISTANCE STUDIOS SPAIN SL.;8,72
BEROIL ENERGIA ELECTRICA SL.;-99,34
SOFBRAIN, SOCIEDAD LIMITADA.;51,65
ISOWAT ENERGIA, S.L.;8,67
IMARKETING AND I SALES S.L.;-0,02
DEKO DATA ANALYTICS SL.;8,82
KAYLON ENERGIAS RENOVABLES SL.;0,89
GLABOO IBERIA SL.;89,42
B38 IBERIA S.L.;4,27
CREDALITAS SL.;2,22
GESTION AVANZADA DEL DESARROLLO DIGITAL SL.;-6,14
HELIO NETWORKS SL.;1,95
VIADS ADVERTISING SL.;23,31
UMB SPANIEN S.L.U;23,99
BATAROMBU SOCIEDAD LIMITADA.;13,14
LASTING DYNAMICS, SOCIEDAD LIMITADA.;20,97
PLATAFORMA MULTIMEDIA DE OPERADORES SL.;-24,57
TECNICAS SOLUCIONES ELECTRICAS, SOCIEDAD LIMITADA.;36,7
THE LINEA1 MKT SOCIEDAD LIMITADA.;29,01
KRAKEND S.L.U.;71,61
NEW KID IN TOWN SERVICIOS SL.;4,52
PREDICTBY RESEARCH AND CONSULTING S.L.;31,59
CREATORS ECONOMY AGENCY SL.;69,89
SYMANTO SPAIN SOCIEDAD LIMITADA.;17,64
DARWIN MEDIA SL.;12,6
